第2页

1. 您是在什么时候接触中文虚拟歌手的？
选项,百分比%,小计
2012年及以前,7.7%,43
2013~2014年,13.0%,73
2015~2016年,36.0%,202
2017~2018年,28.2%,158
2019~2020年,12.5%,70
今年（2021年）,2.7%,15
有效填写量,,561

2. 您常听哪些引擎的歌曲？
选项,百分比%,小计
VOCALOID,98.0%,550
Synthesizer V,68.6%,385
UTAU,32.1%,180
MUTA,7.0%,39
Ace,5.9%,33
Sharpkey / DeepVocal,8.6%,48
CeVIO,9.1%,51
其他____,2.0%,11
有效填写量,,561

3. 您常通过什么APP / 平台关注虚拟歌手领域？
问题,从来没有,几乎不看,偶尔看看,时常看看,几乎每天
Bilibili,3,1,32,140,385
网易云音乐,29,48,136,184,164
酷狗音乐,310,144,80,17,10
5sing,303,134,104,15,5
AcFun,310,139,94,11,7
新浪微博,171,81,167,83,59
百度贴吧,234,128,130,45,24
半次元,348,111,77,17,8
Lofter,248,85,135,63,30
Pixiv,236,88,132,78,27
知乎,248,113,122,57,21
豆瓣,471,67,15,4,4
有效填写量,561

4. 您喜欢什么形式的虚拟歌手作品？
问题,不喜欢,无感,一般,喜欢,很喜欢
原创音乐,1,0,6,96,458
翻调音乐,3,13,114,262,169
相声/小品/快板 等,27,95,182,152,105
直播/生日会 等,27,105,141,147,141
同人图,5,29,64,198,265
同人文,42,152,159,112,96
cosplay作品,35,159,185,114,68
有效填写量,561

5. 就【音乐作品】而言，您常以何种方式听取？
问题,从来没有,几乎没有,偶尔,时常,几乎每天
Bilibili视频,1,4,36,174,346
Bilibili音频区,43,149,212,93,64
网易云音乐,24,36,98,190,213
其它音乐平台,125,162,181,55,38
专辑本地播放,72,65,175,153,96
有效填写量,561

6. 对于投稿在Bilibili的歌曲视频，您通常如何打开？
问题,从来没有,几乎没有,偶尔,时常,几乎每天
收藏夹点进去,19,34,149,181,178
动态点进去,12,24,128,242,155
搜索,15,50,225,202,69
首页推送,4,41,140,219,157
群聊/微博上看到,58,104,207,139,53
有效填写量,561

7. 您加入了以下类别的QQ/微信群聊吗？
问题,从来没有,曾经有,1~2个,3~5个,6个及以上
官方群,268,70,173,27,23
P主群,232,38,171,83,37
民间歌姬粉丝群,241,66,159,66,29
民间P主粉丝群,303,52,146,39,21
民间一般讨论群,206,57,194,70,34
约稿群 / 社团群,325,38,151,30,17
有效填写量,561

第3页

8. 您在中文虚拟歌手领域【一共】花费过多少金钱？
选项,百分比%,小计
我从来没有花费过,11.1%,62
200元以内,19.8%,111
200~1000元,29.8%,167
1000~5000元,28.0%,157
5000~20000元,7.8%,44
20000元以上,3.6%,20
有效填写量,,561

9. 在【过去的一年】里，您在虚拟歌手领域花费如何？
选项,百分比%,小计
没有花费,16.4%,92
200元以内,28.0%,157
200~1000元,34.9%,196
1000~3000元,14.1%,79
3000~10000元,4.3%,24
10000元以上,2.3%,13
有效填写量,,561

10. 您愿意在什么领域花费？
问题,不愿意,观望 / 跟风,比较愿意,愿意
演唱会 / 线下生日会,98,170,127,163
官方周边（非专辑）,86,192,144,134
官方专辑,44,105,161,248
官方手办 / 景品 / 山山人,114,169,132,140
同人周边（非专辑）,83,193,165,113
同人专辑,50,138,172,194
声库 / 编辑器,100,144,135,180
约稿,149,169,124,113
直播打赏 / 充电,257,181,68,48
有效填写量,561

11. 您是否长期接触以下领域？
选项,百分比%,小计
日文VOCALOID,60.6%,320
真人唱见,38.8%,205
VUP、Vtb,33.0%,174
二次元游戏（原神、明日方舟、碧蓝航线等）,70.5%,372
P社游戏,14.6%,77
汉服、JK制服、Lolita等,17.4%,92
Cosplay,16.5%,87
手办圈,9.7%,51
OC圈（人设圈）,16.9%,89
有效填写量,,528

12. 您对以下领域的态度如何？
问题,反感,有些反感,一般,有些喜欢,喜欢
日文VOCALOID,3,4,117,147,290
真人唱见,6,24,245,167,118
二次元游戏,4,18,171,133,234
VUP / Vtb,53,118,218,96,75
有效填写量,561

